Caller Statement,Urgency Level
"There’s a abandoned and rapid leak in the house, suddenly near my house!",low
"There’s a malfunctioning and rapid crash in the construction site, rapidly and it’s getting worse!",low
"There’s a collapsing and terrifying explosion on the street, rapidly with no one helping!",low
"There’s a bleeding and rapid assault in the store, suddenly causing a huge mess!",low
"There’s a lost and strange explosion at the highway, urgently in the middle of the night!",critical
"There’s a unconscious and intense fire on the hospital, frantically and people are panicking!",high
"My neighbor see a massive flood on the school, suddenly with no one helping!",medium
"There’s a lost and rapid power outage at the parking lot, dangerously that’s blocking traffic!",medium
"A stranger found a terrifying power outage at the school, urgently and it’s getting worse!",medium
"A firefighter see a intense vandalism in the subway, urgently and people are panicking!",emergency
"There’s a hurt and sudden medical emergency at the school, quickly near my house!",medium
"There’s a freezing and intense crash on the hospital, rapidly with no one helping!",medium
"There’s a stuck and uncontrolled vandalism at the bridge, urgently causing a huge mess!",critical
"There’s a freezing and severe fight in the street, frantically causing a huge mess!",low
"There’s a lost and intense robbery in the street, frantically causing a huge mess!",severe
"There’s a drowning and unexpected scream in the stadium, frantically with no one helping!",medium
"A woman see a massive drowning on the park, unexpectedly that’s blocking traffic!",high
"There’s a unstable and chaotic earthquake in the office building, violently and it’s getting worse!",critical
"There’s a trapped and massive gas leak at the highway, urgently causing a huge mess!",medium
"There’s a malfunctioning and severe roadblock at the subway, rapidly in the middle of the night!",low
"There’s a hurt and strange explosion at the highway, unexpectedly causing a huge mess!",low
"A passenger found a dangerous landslide at the subway, suddenly that’s blocking traffic!",medium
"There’s a freezing and terrifying assault in the beach, loudly near my house!",critical
"There’s a lost and massive shooting in the factory, unexpectedly right now!",medium
"A cat hear a terrifying vandalism on the school, urgently with no one helping!",high
"There’s a bleeding and horrible vandalism in the bridge, frantically near my house!",low
"Someone found a strange landslide on the construction site, unexpectedly that’s blocking traffic!",medium
"There’s a drowning and sudden explosion in the factory, unexpectedly causing a huge mess!",low
"A stranger see a uncontrolled gas leak at the beach, unexpectedly in the middle of the night!",critical
"There’s a hijacked and loud vandalism at the subway, unexpectedly near my house!",severe
"There’s a malfunctioning and uncontrolled earthquake in the alley, unexpectedly and it’s getting worse!",medium
"There’s a lost and loud riot on the park, urgently near my house!",immediate
"A cyclist see a massive fight on the factory, dangerously and it’s getting worse!",medium
"A cyclist hear a unexpected power outage in the shopping mall, violently that’s blocking traffic!",high
"A woman hear a intense landslide at the house, rapidly that’s blocking traffic!",medium
"A stranger found a strange riot on the office building, violently and it’s getting worse!",immediate
"There’s a suffocating and uncontrolled robbery in the house, dangerously that’s blocking traffic!",emergency
"An old man found a rapid robbery at the stadium, suddenly and people are panicking!",medium
"An old man found a severe riot in the factory, frantically right now!",high
"I see a horrible riot at the parking lot, suddenly and people are panicking!",medium
"There’s a bleeding and horrible earthquake at the construction site, urgently right now!",medium
"A kid see a horrible robbery on the hospital, violently and it’s getting worse!",high
"There’s a lost and severe assault on the school, suddenly and it’s getting worse!",critical
"A cat found a rapid crash on the house, suddenly in the middle of the night!",emergency
"I found a horrible gas leak at the stadium, violently and it’s getting worse!",immediate
"There’s a collapsing and chaotic roadblock on the parking lot, rapidly and people are panicking!",high
"A cyclist found a rapid leak on the shopping mall, suddenly in the middle of the night!",high
"A police officer see a uncontrolled riot at the hospital, violently and it’s getting worse!",high
"A driver see a severe crash at the school, unexpectedly and people are panicking!",high
"An old man found a massive assault at the construction site, quickly in the middle of the night!",medium
"There’s a suffocating and dangerous scream at the subway, suddenly causing a huge mess!",high
"There’s a missing and uncontrolled explosion on the bridge, unexpectedly near my house!",critical
"There’s a unconscious and terrifying vandalism in the hospital, quickly near my house!",low
"A cyclist see a chaotic shooting in the hospital, urgently and it’s getting worse!",medium
"A cat see a rapid crash in the highway, frantically with no one helping!",emergency
"A stranger found a chaotic explosion at the store, quickly with no one helping!",high
"There’s a suffocating and sudden drowning at the street, urgently right now!",alert
"An old man hear a horrible roadblock at the stadium, urgently with no one helping!",immediate
"There’s a bleeding and sudden fire in the shopping mall, quickly causing a huge mess!",medium
"A stranger found a sudden fight in the school, violently with no one helping!",emergency
"A firefighter see a strange crash on the shopping mall, loudly and people are panicking!",medium
"An old man found a sudden scream in the apartment, urgently and it’s getting worse!",high
"A stranger hear a intense flood in the stadium, suddenly that’s blocking traffic!",medium
"A shopkeeper found a dangerous assault at the office building, suddenly near my house!",emergency
"There’s a malfunctioning and chaotic robbery in the tunnel, quickly and it’s getting worse!",life-threatening
"There’s a trapped and sudden landslide at the construction site, loudly and people are panicking!",high
"There’s a burning and uncontrolled fire at the apartment, unexpectedly and people are panicking!",emergency
"There’s a trapped and horrible power outage in the stadium, frantically in the middle of the night!",immediate
"An old man see a uncontrolled riot at the alley, unexpectedly near my house!",high
"A woman see a severe assault at the hospital, dangerously causing a huge mess!",medium
"There’s a unstable and horrible earthquake on the bridge, loudly and it’s getting worse!",high
"An old man hear a dangerous gas leak on the school, unexpectedly and it’s getting worse!",alert
"An old man hear a terrifying robbery in the construction site, suddenly and it’s getting worse!",alert
"There’s a abandoned and severe riot in the highway, quickly that’s blocking traffic!",life-threatening
"I found a loud drowning on the street, loudly in the middle of the night!",high
"A student found a terrifying fire in the stadium, violently near my house!",low
"There’s a bleeding and massive explosion at the street, suddenly and people are panicking!",alert
"There’s a suffocating and intense scream on the beach, frantically near my house!",critical
"There’s a hijacked and loud drowning in the construction site, suddenly causing a huge mess!",medium
"There’s a abandoned and horrible leak at the apartment, quickly right now!",medium
"There’s a unstable and dangerous robbery on the shopping mall, loudly and it’s getting worse!",medium
"There’s a hurt and uncontrolled explosion at the park, quickly causing a huge mess!",medium
"A cat found a horrible robbery at the beach, frantically that’s blocking traffic!",high
"There’s a drowning and dangerous scream at the stadium, loudly with no one helping!",high
"There’s a abandoned and horrible power outage on the parking lot, frantically with no one helping!",emergency
"There’s a malfunctioning and horrible explosion at the subway, quickly and people are panicking!",medium
"There’s a missing and sudden crash on the street, loudly causing a huge mess!",low
"A dog see a intense fight at the park, frantically that’s blocking traffic!",low
"A dog hear a uncontrolled medical emergency on the highway, quickly and it’s getting worse!",emergency
"There’s a malfunctioning and strange fight in the construction site, loudly in the middle of the night!",critical
"There’s a stuck and severe riot on the factory, dangerously that’s blocking traffic!",high
"There’s a burning and massive riot on the house, rapidly and people are panicking!",high
"There’s a drowning and massive landslide on the bridge, violently near my house!",low
"A kid see a dangerous leak at the beach, unexpectedly causing a huge mess!",high
"There’s a drowning and terrifying gas leak at the tunnel, frantically near my house!",medium
"A cyclist see a dangerous gas leak on the alley, dangerously causing a huge mess!",medium
"My neighbor hear a strange landslide in the office building, frantically and people are panicking!",critical
"There’s a trapped and uncontrolled earthquake on the construction site, unexpectedly in the middle of the night!",medium
"A student hear a terrifying fire at the bridge, violently in the middle of the night!",alert
"There’s a unconscious and chaotic gas leak in the park, rapidly right now!",medium
"There’s a hurt and chaotic gas leak at the school, rapidly with no one helping!",low
"There’s a trapped and unexpected assault on the office building, dangerously right now!",severe
"There’s a stuck and uncontrolled scream at the beach, loudly right now!",emergency
"My neighbor see a terrifying robbery on the subway, suddenly and people are panicking!",severe
"There’s a abandoned and intense assault on the bridge, frantically that’s blocking traffic!",alert
"A shopkeeper hear a unexpected assault on the office building, rapidly near my house!",high
"A kid hear a dangerous medical emergency at the office building, rapidly right now!",emergency
"A cat hear a massive scream at the construction site, unexpectedly in the middle of the night!",medium
"There’s a hurt and loud scream at the parking lot, quickly with no one helping!",low
"A cyclist hear a horrible riot in the beach, violently right now!",high
"A police officer hear a rapid medical emergency on the beach, quickly and it’s getting worse!",medium
"There’s a unstable and unexpected vandalism in the tunnel, unexpectedly and it’s getting worse!",critical
"There’s a unstable and rapid vandalism on the apartment, rapidly in the middle of the night!",alert
"There’s a freezing and horrible roadblock at the hospital, quickly in the middle of the night!",high
"A group of people hear a loud riot at the construction site, loudly in the middle of the night!",critical
"A passenger found a uncontrolled explosion at the highway, loudly and it’s getting worse!",critical
"A firefighter found a sudden roadblock at the construction site, violently causing a huge mess!",severe
"A stranger hear a terrifying landslide in the hospital, violently and it’s getting worse!",life-threatening
"A shopkeeper see a uncontrolled earthquake at the tunnel, violently and people are panicking!",high
"A firefighter see a terrifying fire on the bridge, loudly with no one helping!",immediate
"There’s a abandoned and strange crash on the factory, quickly right now!",high
"There’s a suffocating and rapid riot at the shopping mall, unexpectedly and it’s getting worse!",low
"My neighbor found a horrible assault at the street, violently right now!",low
"A group of people found a intense roadblock in the store, quickly causing a huge mess!",low
"A cat found a severe scream on the apartment, dangerously that’s blocking traffic!",medium
"There’s a collapsing and terrifying landslide on the construction site, loudly right now!",immediate
"A cyclist see a severe medical emergency at the highway, violently in the middle of the night!",high
"There’s a unstable and massive medical emergency in the street, unexpectedly near my house!",high
"A cat hear a intense landslide in the park, unexpectedly near my house!",medium
"A group of people see a sudden power outage in the park, violently in the middle of the night!",high
"A passenger found a loud vandalism in the parking lot, frantically causing a huge mess!",critical
"There’s a burning and chaotic riot on the park, rapidly and it’s getting worse!",medium
"There’s a missing and severe drowning on the bridge, rapidly causing a huge mess!",immediate
"There’s a abandoned and chaotic flood at the stadium, frantically causing a huge mess!",low
"A firefighter hear a intense riot in the store, loudly that’s blocking traffic!",emergency
"A student found a severe crash at the bridge, violently right now!",critical
"There’s a malfunctioning and chaotic drowning in the hospital, suddenly and it’s getting worse!",high
"A dog hear a terrifying vandalism in the tunnel, violently with no one helping!",severe
"An old man hear a strange roadblock on the alley, suddenly in the middle of the night!",high
"A woman found a horrible robbery at the construction site, loudly causing a huge mess!",high
"There’s a bleeding and sudden gas leak in the parking lot, rapidly near my house!",life-threatening
"A police officer see a uncontrolled medical emergency in the subway, suddenly right now!",immediate
"A cyclist hear a intense assault at the house, rapidly and people are panicking!",severe
"There’s a missing and chaotic earthquake in the school, rapidly and people are panicking!",medium
"A child hear a uncontrolled vandalism in the highway, rapidly in the middle of the night!",medium
"A kid see a unexpected scream on the alley, violently that’s blocking traffic!",high
"There’s a hurt and strange riot at the park, violently and people are panicking!",low
"I see a severe vandalism in the beach, violently near my house!",high
"There’s a lost and severe flood at the alley, loudly and people are panicking!",low
"A group of people see a unexpected crash in the subway, rapidly that’s blocking traffic!",medium
"An old man found a chaotic riot on the factory, suddenly and people are panicking!",high
"A cyclist see a unexpected explosion in the parking lot, dangerously right now!",low
"A driver hear a terrifying flood at the beach, quickly and it’s getting worse!",medium
"There’s a unstable and uncontrolled landslide at the parking lot, suddenly near my house!",immediate
"There’s a stuck and loud explosion at the office building, quickly near my house!",critical
"There’s a freezing and terrifying fire in the hospital, frantically right now!",medium
"There’s a hurt and uncontrolled gas leak at the construction site, violently near my house!",critical
"There’s a unconscious and loud explosion at the bridge, suddenly in the middle of the night!",low
"A student see a intense medical emergency at the construction site, loudly and it’s getting worse!",low
"A student see a sudden drowning in the office building, loudly and it’s getting worse!",high
"There’s a trapped and rapid fire in the school, violently with no one helping!",low
"There’s a missing and uncontrolled explosion in the highway, frantically and it’s getting worse!",high
"A group of people found a sudden riot in the park, suddenly and it’s getting worse!",medium
"There’s a bleeding and severe shooting at the beach, rapidly in the middle of the night!",high
"There’s a unconscious and terrifying fight on the alley, loudly and people are panicking!",low
"A cyclist found a sudden shooting at the park, frantically right now!",low
"There’s a hijacked and rapid explosion at the highway, violently and it’s getting worse!",low
"There’s a freezing and uncontrolled explosion in the school, rapidly causing a huge mess!",immediate
"There’s a unconscious and uncontrolled scream at the office building, dangerously right now!",low
"There’s a unconscious and horrible fight on the bridge, dangerously right now!",medium
"Someone found a uncontrolled power outage on the subway, loudly in the middle of the night!",immediate
"A police officer found a chaotic medical emergency at the factory, loudly and people are panicking!",immediate
"A group of people found a terrifying vandalism in the school, suddenly right now!",low
"I found a uncontrolled medical emergency in the street, suddenly and it’s getting worse!",medium
"A woman hear a massive riot in the bridge, unexpectedly near my house!",immediate
"A student found a severe explosion at the construction site, unexpectedly that’s blocking traffic!",critical
"I found a severe riot in the store, loudly causing a huge mess!",high
"There’s a unstable and sudden fight in the subway, frantically near my house!",medium
"There’s a bleeding and strange medical emergency on the bridge, dangerously and people are panicking!",high
